t_ms,theta_deg,theta_dot_dps,tau_Nm,tau_cmd_Nm,armed,gain_scale,wheel_omega_lp,wheel_pos,wheel_vel
1228271.0,-0.4101,-8.5067,-0.12,-0.12,1.0,1.0,-2.682301,-1739.09314,-0.636217
1228272.0,-0.3649,11.8717,0.12,0.12,1.0,1.0,-2.682827,-1739.094238,-0.647759
1228274.0,-0.4177,10.9824,0.10825,0.10825,1.0,1.0,-2.683381,-1739.095459,-0.657068
1228276.0,-0.5004,4.6136,-0.028876,-0.028876,1.0,1.0,-2.683959,-1739.096436,-0.650007
1228277.0,-0.516,-14.1825,-0.12,-0.12,1.0,1.0,-2.684519,-1739.097534,-0.643453
1228279.0,-0.4146,-10.4094,-0.12,-0.12,1.0,1.0,-2.685062,-1739.098633,-0.644394
1228281.0,-0.2977,-0.5201,-0.094629,-0.094629,1.0,1.0,-2.685607,-1739.099854,-0.674841
1228282.0,-0.2949,17.4058,0.12,0.12,1.0,1.0,-2.686229,-1739.101196,-0.71228
1228284.0,-0.3732,13.3094,0.12,0.12,1.0,1.0,-2.686944,-1739.102417,-0.734129
1228286.0,-0.469,3.1231,-0.055955,-0.055955,1.0,1.0,-2.687715,-1739.103638,-0.738904
1228287.0,-0.477,-10.896,-0.12,-0.12,1.0,1.0,-2.688496,-1739.104858,-0.730171
1228289.0,-0.3986,-7.7001,-0.12,-0.12,1.0,1.0,-2.689256,-1739.106079,-0.733781
1228291.0,-0.3242,3.3155,-0.028619,-0.028619,1.0,1.0,-2.690024,-1739.107422,-0.754481
1228292.0,-0.3834,13.1469,0.12,0.12,1.0,1.0,-2.690844,-1739.108765,-0.7738
1228294.0,-0.4897,6.1551,-0.002383,-0.002383,1.0,1.0,-2.691712,-1739.110107,-0.783203
1228296.0,-0.5891,-5.8987,-0.12,-0.12,1.0,1.0,-2.692603,-1739.11145,-0.779377
1228297.0,-0.5269,-12.5687,-0.12,-0.12,1.0,1.0,-2.693485,-1739.112671,-0.782407
1228299.0,-0.3942,-3.6644,-0.12,-0.12,1.0,1.0,-2.694373,-1739.114258,-0.813214
