t_ms,phi_x_deg,phi_y_deg,phi_z_deg,om_x_dps,om_y_dps,om_z_dps,rho_x,rho_y,rho_z,rho_x_lp,rho_y_lp,rho_z_lp,tau_x,tau_y,tau_z,tau_cmd_x,tau_cmd_y,tau_cmd_z,armed,gain_scale
37148.0,-33.137,-31.2386,1.2584,0.151,-0.323,0.131,-0.002,-0.043,-0.007,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37155.0,-33.1383,-31.2412,1.2598,0.285,-0.252,0.03,-0.001,-0.035,0.0,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37163.0,-33.1387,-31.2408,1.2591,0.007,0.079,0.189,0.005,-0.028,0.002,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37171.0,-33.1371,-31.2446,1.2642,0.256,0.04,-0.022,0.029,-0.004,0.004,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37179.0,-33.1401,-31.2444,1.2614,-0.164,0.058,0.168,0.041,0.021,0.006,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37186.0,-33.1421,-31.2447,1.2599,-0.014,0.026,0.05,0.025,0.011,0.008,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37194.0,-33.1435,-31.2436,1.2576,-0.114,0.249,-0.072,0.018,0.036,0.0,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37202.0,-33.1435,-31.2427,1.2567,0.041,0.243,0.095,0.02,0.045,-0.004,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37209.0,-33.1463,-31.2416,1.2532,-0.001,-0.077,0.033,0.012,0.028,-0.005,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37217.0,-33.1473,-31.2409,1.2516,0.07,0.08,0.018,-0.004,0.028,0.0,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37225.0,-33.1478,-31.2413,1.2516,-0.065,0.008,0.118,-0.018,0.011,0.008,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37233.0,-33.1478,-31.241,1.2513,0.014,-0.05,-0.113,-0.005,0.01,0.006,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37240.0,-33.1469,-31.2406,1.2517,-0.015,0.07,0.007,-0.024,-0.001,0.002,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37248.0,-33.147,-31.2422,1.2532,-0.1,0.059,-0.003,-0.022,-0.022,0.004,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
37256.0,-33.1485,-31.2444,1.254,0.169,0.03,-0.032,0.001,-0.041,-0.009,-0.0,-0.0,0.0,-0.12,-0.12,0.12,0.0,0.0,0.0,0.0,1.0
