t_ms,phi_x_deg,phi_y_deg,phi_z_deg,om_x_dps,om_y_dps,om_z_dps,rho_x,rho_y,rho_z,rho_x_lp,rho_y_lp,rho_z_lp,tau_x,tau_y,tau_z,tau_cmd_x,tau_cmd_y,tau_cmd_z,armed,gain_scale
31551.0,-0.4502,-0.106,0.5535,-5.244,-3.497,-4.921,0.007,0.001,-0.005,0.0,-0.0,0.0,-0.10643,6e-05,0.10684,0.0,0.0,0.0,0.0,1.0
31558.0,-0.4499,-0.1058,0.553,-5.073,-3.348,-5.029,0.003,-0.005,-0.003,0.0,-0.0,0.0,-0.10422,0.00144,0.10234,0.0,0.0,0.0,0.0,1.0
31566.0,-0.4488,-0.1043,0.5505,-5.143,-3.591,-4.927,0.001,0.009,0.002,0.0,-0.0,0.0,-0.1046,-0.00075,0.10701,0.0,0.0,0.0,0.0,1.0
31573.0,-0.4474,-0.1052,0.5499,-5.278,-3.448,-5.042,0.006,0.015,0.009,0.0,-0.0,0.0,-0.10595,0.00466,0.10606,0.0,0.0,0.0,0.0,1.0
31580.0,-0.4453,-0.1078,0.5505,-5.219,-3.776,-5.196,0.001,-0.001,0.002,0.0,-0.0,0.0,-0.10102,-0.00351,0.10477,0.0,0.0,0.0,0.0,1.0
31587.0,-0.4447,-0.1068,0.5488,-5.438,-3.729,-5.235,0.002,0.006,-0.002,0.0,-0.0,0.0,-0.10456,0.00082,0.10469,0.0,0.0,0.0,0.0,1.0
31595.0,-0.4421,-0.1142,0.5534,-5.253,-3.857,-5.187,0.001,0.002,-0.006,0.0,-0.0,0.0,-0.10027,-0.00561,0.10516,0.0,0.0,0.0,0.0,1.0
31602.0,-0.4406,-0.1139,0.5517,-5.437,-3.775,-5.19,0.006,0.004,-0.003,0.0,-0.0,0.0,-0.10295,-0.00224,0.10611,0.0,0.0,0.0,0.0,1.0
31609.0,-0.4397,-0.1143,0.5511,-5.621,-3.521,-5.366,-0.003,-0.007,-0.001,0.0,-0.0,0.0,-0.10795,0.00363,0.10304,0.0,0.0,0.0,0.0,1.0
31617.0,-0.4399,-0.1135,0.5505,-5.746,-3.68,-5.61,0.007,0.003,-0.005,0.0,-0.0,0.0,-0.10498,0.00565,0.10043,0.0,0.0,0.0,0.0,1.0
31624.0,-0.4395,-0.1145,0.5512,-6.051,-3.903,-5.4,-0.004,-0.006,0.003,0.0,-0.0,0.0,-0.11184,0.00059,0.11031,0.0,0.0,0.0,0.0,1.0
31631.0,-0.4405,-0.1155,0.553,-5.83,-3.735,-5.577,-0.008,-0.004,-0.008,0.0,-0.0,0.0,-0.10872,0.00348,0.10244,0.0,0.0,0.0,0.0,1.0
31638.0,-0.4405,-0.1141,0.5517,-5.888,-3.582,-5.25,-0.002,0.0,-0.008,0.0,-0.0,0.0,-0.11301,0.00502,0.10696,0.0,0.0,0.0,0.0,1.0
