# gyro bias (body, rad/s): -0.001636	0.000448	0.001663
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6135 runner_up=[-1,-1,+1] dot=0.6033)
# WARNING: best and runner-up corners are close -- cube may not
#   be resting stably on a single corner yet. Recheck before Stage 2.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
# send c to re-resolve the corner candidate, w<0/1/2> to pick
# a wheel (0=X 1=Y 2=Z), p to fire a pulse, t<Nm> to change its
# size (try t0.08 if 0.05 doesn't move it)
# HOLD/BRACE THE CUBE FIRMLY BEFORE SENDING p
# WiFi build: d<N> sets telht pulse is CANCELLED
#   if no line arrives on Serial1 for 300 ms.
t_ms	pulse_wheel	tau_Nm	pulse_active	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z
6759	0	0.0000	0	-33.073	-30.872	0.958	0.02	-0.33	0.12	-0.016	0.005	-0.006
6767	0	0.0000	0	-33.091	-30.875	0.945	0.61	-0.75	-0.38	-0.027	0.019	-0.010
6774	0	0.0000	0	-33.087	-30.892	0.965	1.44	-1.60	0.49	-0.032	0.028	-0.008
6781	0	0.0000	0	-33.082	-30.909	0.985	1.04	-1.60	0.58	-0.005	0.019	-0.003
6788	0	0.0000	0	-33.074	-30.912	0.995	0.49	-0.77	0.29	-0.001	0.002	0.004
6795	0	0.0000	0	-33.070	-30.916	1.003	0.48	-0.71	-0.08	0.018	-0.007	0.003
6802	0	0.0000	0	-33.060	-30.922	1.018	0.35	-0.65	-0.11	0.012	-0.015	0.004
6809	0	0.0000	0	-33.058	-30.928	1.025	0.02	-0.37	-0.16	0.008	-0.025	0.019
6816	0	0.0000	0	-33.058	-30.932	1.029	0.48	-0.13	-0.97	0.008	-0.026	0.020
6823	0	0.0000	0	-33.064	-30.941	1.033	0.61	-0.24	-0.89	-0.005	-0.019	0.014
6830	0	0.0000	0	-33.072	-30.953	1.038	0.58	-0.36	-0.84	-0.013	-0.032	-0.002
6837	0	0.0000	0	-33.079	-30.973	1.051	0.52	-0.57	0.16	-0.004	-0.008	-0.021
6844	0	0.0000	0	-33.093	-30.982	1.047	0.80	-0.79	0.20	-0.002	-0.001	-0.021
6851	0	0.0000	0	-33.113	-30.985	1.032	1.11	-0.50	0.23	-0.004	0.005	-0.005
6858	0	0.0000	0	-33.122	-31.002	1.041	1.58	-0.68	-0.29	-0.016	0.011	-0.012
6865	0	0.0000	0	-33.121	-31.021	1.061	2.55	-1.07	0.09	-0.021	0.036	-0.032
6872	0	0.0000	0	-33.124	-31.029	1.066	2.69	-2.92	1.79	-0.016	0.064	-0.041
6879	0	0.0000	0	-33.130	-31.023	1.055	3.28	-3.10	2.12	-0.017	0.056	-0.041
6886	0	0.0000	0	-33.122	-31.011	1.051	3.98	-3.27	1.60	-0.022	0.047	-0.017
6893	0	0.0000	0	-33.106	-31.008	1.062	4.86	-4.16	0.97	-0.017	0.043	-0.010
6900	0	0.0000	0	-33.080	-31.009	1.085	5.83	-4.84	-0.15	-0.016	0.038	0.006
6907	0	0.0000	0	-33.049	-31.017	1.120	6.37	-5.55	-1.04	-0.003	0.005	0.015
