started - CORNER STAGE 3: POSITION + RATE (WiFi build, cube held by hand)
all stopped
# mount DCM check: det=1.0000  |row0|=1.0000  |row1|=1.0000  |row2|=1.0000
BMI270 connected!
# calibrating gyro bias -- keep the cube PERFECTLY STILL (~2s)
# corner resolved: [-1,+1,+1]  place_offset=3.097 deg  (best_dot=0.6091 runner_up=[-1,-1,+1] dot=0.6020)
# WARNING: best and runner-up corners are close -- verify before arming.
t_ms	phi_x_deg	phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale
# STARTS DISARMED, gGainScale=0.1. Send a1 to arm, a0 to
# disarm, g<0..1> to step gain, m<deg> to widen/narrow kMaxTilt.
# h1 halts (idle + disarm), h0 resumes (still disarmed).
# WiFi build: d<N> sets telemetry decimation (d2 = 250 Hz,
#   d20 = 25 Hz readable), l<0/1phi_y_deg	phi_z_deg	om_x_dps	om_y_dps	om_z_dps	rho_x	rho_y	rho_z	tau_x	tau_y	tau_z	tau_cmd_x	tau_cmd_y	tau_cmd_z	armed	gain_scale
6759	-33.157	-31.057	1.064	-0.17	-0.12	0.31	0.002	0.009	-0.006	-0.1200	-0.1200	0.0278	0.0000	0.0000	0.0000	0	0.10
6767	-33.154	-31.057	1.067	0.10	-0.15	0.28	-0.006	0.013	0.010	-0.1200	-0.1200	0.0281	0.0000	0.0000	0.0000	0	0.10
6774	-33.153	-31.055	1.066	-0.04	-0.09	0.25	0.001	0.013	0.009	-0.1200	-0.1200	0.0279	0.0000	0.0000	0.0000	0	0.10
6781	-33.148	-31.050	1.064	-0.04	0.21	-0.05	-0.007	-0.009	0.023	-0.1200	-0.1200	0.0271	0.0000	0.0000	0.0000	0	0.10
6789	-33.149	-31.047	1.061	-0.26	-0.07	-0.07	-0.015	-0.015	0.013	-0.1200	-0.1200	0.0271	0.0000	0.0000	0.0000	0	0.10
6796	-33.147	-31.046	1.062	-0.11	-0.02	-0.27	-0.015	-0.013	0.015	-0.1200	-0.1200	0.0269	0.0000	0.0000	0.0000	0	0.10
6803	-33.146	-31.045	1.062	0.04	0.07	-0.19	-0.015	-0.014	-0.012	-0.1200	-0.1200	0.0271	0.0000	0.0000	0.0000	0	0.10
6811	-33.146	-31.044	1.062	0.19	-0.14	-0.14	-0.020	0.022	-0.029	-0.1200	-0.1200	0.0275	0.0000	0.0000	0.0000	0	0.10
6818	-33.148	-31.046	1.061	-0.07	-0.24	-0.41	-0.004	-0.003	-0.037	-0.1200	-0.1200	0.0269	0.0000	0.0000	0.0000	0	0.10
6825	-33.151	-31.049	1.061	-0.23	-0.15	-0.23	-0.011	0.018	-0.052	-0.1200	-0.1200	0.0270	0.0000	0.0000	0.0000	0	0.10
6833	-33.150	-31.052	1.066	-0.18	-0.06	-0.06	-0.007	0.011	-0.048	-0.1200	-0.1200	0.0273	0.0000	0.0000	0.0000	0	0.10
6840	-33.151	-31.058	1.070	-0.01	-0.28	-0.11	0.005	0.016	-0.047	-0.1200	-0.1200	0.0276	0.0000	0.0000	0.0000	0	0.10
6848	-33.155	-31.061	1.070	-0.24	-0.02	0.07	0.011	0.012	-0.035	-0.1200	-0.1200	0.0275	0.0000	0.0000	0.0000	0	0.10
6855	-33.157	-31.062	1.069	-0.19	0.04	-0.04	0.010	-0.008	-0.027	-0.1200	-0.1200	0.0273	0.0000	0.0000	0.0000	0	0.10
6862	-33.160	-31.061	1.064	-0.12	0.11	0.03	0.011	0.009	-0.005	-0.1200	-0.1200	0.0273	0.0000	0.0000	0.0000	0	0.10
6870	-33.165	-31.061	1.061	-0.21	-0.07	0.19	0.013	0.004	0.004	-0.1200	-0.1200	0.0275	0.0000	0.0000	0.0000	0	0.10
6877	-33.165	-31.062	1.062	0.13	-0.03	0.23	0.021	-0.017	0.018	-0.1200	-0.1200	0.0279	0.0000	0.0000	0.0000	0	0.10
6884	-33.166	-31.062	1.061	0.04	-0.24	0.11	0.004	-0.023	0.041	-0.1200	-0.1200	0.0278	0.0000	0.0000	0.0000	0	0.10
6892	-33.166	-31.061	1.060	0.16	-0.19	0.15	0.003	0.002	0.061	-0.1200	-0.1200	0.0279	0.0000	0.0000	0.0000	0	0.10
6899	-33.166	-31.060	1.059	-0.05	-0.16	0.01	0.006	-0.018	0.044	-0.1200	-0.1200	0.0275	0.0000	0.0000	0.0000	0	0.10
6907	-33.165	-31.058	1.057	-0.05	0.10	0.18	0.015	-0.018	0.045	-0.1200	-0.1200	0.0274	0.0000	0.0000	0.0000	0	0.10
6914	-33.160	-31.056	1.061	0.01	0.01	0.10	0.011	-0.029	0.027	-0.1200	-0.1200	0.0275	0.0000	0.0000	0.0000	0	0.10
6921	-33.156	-31.056	1.064	-0.03	-0.09	-0.18	0.008	-0.041	0.007	-0.1200	-0.1200	0.0272	0.0000	0.0000	0.0000	0	0.10
6929	-33.156	-31.053	1.062	0.15	0.13	-0.04	-0.001	-0.031	-0.003	-0.1200	-0.1200	0.0273	0.0000	0.0000	0.0000	0	0.10
6936	-33.158	-31.049	1.056	-0.04	0.10	-0.25	-0.001	-0.013	-0.026	-0.1200	-0.1200	0.0268	0.0000	0.0000	0.0000	0	0.10
6944	-33.160	-31.047	1.051	0.18	0.05	-0.21	0.000	-0.029	-0.040	-0.1200	-0.1200	0.0270	0.0000	0.0000	0.0000	0	0.10
6951	-33.160	-31.046	1.051	0.01	-0.23	-0.40	-0.001	-0.016	-0.059	-0.1200	-0.1200	0.0268	0.0000	0.0000	0.0000	0	0.10
6958	-33.160	-31.051	1.056	0.14	0.02	-0.24	-0.005	-0.007	-0.058	-0.1200	-0.1200	0.0270	0.0000	0.0000	0.0000	0	0.10
6966	-33.159	-31.053	1.059	-0.04	-0.08	-0.07	-0.003	0.002	-0.044	-0.1200	-0.1200	0.0272	0.0000	0.0000	0.0000	0	0.10
6973	-33.159	-31.057	1.062	0.08	0.06	-0.12	0.004	-0.017	-0.030	-0.1200	-0.1200	0.0272	0.0000	0.0000	0.0000	0	0.10
6981	-33.164	-31.061	1.061	-0.14	-0.11	0.06	-0.005	0.014	0.009	-0.1200	-0.1200	0.0274	0.0000	0.0000	0.0000	0	0.10
6988	-33.165	-31.061	1.061	-0.22	0.20	0.03	-0.006	0.002	0.035	-0.1200	-0.1200	0.0270	0.0000	0.0000	0.0000	0	0.10
