Level,Title,Enterprise Item Number,Revision,Title (Instance),Is Latest Revision,Maturity State,Owner,Lock,Modification Date,Type,Name,Density [kg/m^3],Mass [kg]
0,3D assembly,None,A.1,,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 1:39:15 PM",Physical Product,prd-R1132100679051-01454278,,
1,3D FRAME,None,A.1,3D FRAME.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 9, 2026, 11:44:54 PM",Physical Product,prd-R1132100679051-01453039,,
2,CUBI,None,A.1,14,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 6:40:01 PM",Physical Product,prd-R1132100679051-01453040,1290,0.200501
2,IMU_BMI270,None,A.1,15,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 7:12:12 PM",Physical Product,prd-R1132100679051-01453041,1290,0.001552
2,corner_000,None,A.1,16,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 7:12:12 PM",Physical Product,prd-R1132100679051-01453042,1290,0.002787
2,corner_110,None,A.1,17,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 7:12:12 PM",Physical Product,prd-R1132100679051-01453043,1290,0.002787
2,corner_101,None,A.1,18,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 7:12:12 PM",Physical Product,prd-R1132100679051-01453044,1290,0.002787
2,corner_011,None,A.1,19,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 7:12:12 PM",Physical Product,prd-R1132100679051-01453045,1290,0.002787
2,corner_100,None,A.1,20,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 7:12:12 PM",Physical Product,prd-R1132100679051-01453046,1290,0.002787
2,corner_010,None,A.1,21,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 7:12:12 PM",Physical Product,prd-R1132100679051-01453047,1290,0.002787
2,corner_001,None,A.1,22,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453048,1290,0.002787
2,corner_111,None,A.1,23,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453049,1290,0.002787
2,beam_00,None,A.1,24,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453050,1290,0.00911
2,beam_01,None,A.1,25,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453051,1290,0.00911
2,beam_02,None,A.1,26,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453052,1290,0.00911
2,beam_03,None,A.1,27,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453053,1290,0.008995
2,beam_04,None,A.1,28,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453054,1290,0.00911
2,beam_05,None,A.1,29,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453055,1290,0.00911
2,beam_06,None,A.1,30,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453056,1290,0.00911
2,beam_07,None,A.1,31,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453057,1290,0.008995
2,beam_08,None,A.1,32,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453058,1290,0.00911
2,beam_09,None,A.1,33,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453059,1290,0.00911
2,beam_10,None,A.1,34,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453060,1290,0.00911
2,beam_11,None,A.1,35,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453061,1290,0.008995
2,sleeve_z,None,A.1,36,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453062,1290,0.000266
2,magnet_z,None,A.1,37,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453063,6860,0.000543
2,ma600_z,None,A.1,38,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453064,1290,0.000509
2,ma600_bracket_z,None,A.1,39,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453065,1290,0.005282
2,moteus_n1_z,None,A.1,40,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453066,2220,0.01459
2,sleeve_x,None,A.1,41,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453067,1290,0.000266
2,magnet_x,None,A.1,42,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453068,6860,0.000543
2,ma600_x,None,A.1,43,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453069,1290,0.000509
2,ma600_bracket_x,None,A.1,44,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453070,1290,0.005282
2,moteus_n1_x,None,A.1,45,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453071,2220,0.01459
2,sleeve_y,None,A.1,46,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453072,1290,0.000266
2,magnet_y,None,A.1,47,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453073,6860,0.000543
2,ma600_y,None,A.1,48,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453074,1290,0.000509
2,ma600_bracket_y,None,A.1,49,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453075,1290,0.005282
2,moteus_n1_y,None,A.1,50,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453076,2220,0.01459
2,battery,None,A.1,51,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453077,1820,0.254144
2,perf_z,None,A.1,52,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453078,1290,0.007364
2,teensy41_z,None,A.1,53,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453079,1290,0.007082
2,usb_teensy_z,None,A.1,54,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453080,1290,0.000596
2,perf_x,None,A.1,57,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453083,1290,0.005692
2,perf_y,None,A.1,61,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453087,1290,0.005692
2,xiao_esp32c6_y,None,A.1,62,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453088,1290,0.002438
2,xt90_y,None,A.1,64,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453090,1290,0.02322
2,z_motor,None,A.1,66,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 9:00:37 PM",Physical Product,prd-R1132100679051-01453092,2660,0.068001
2,x_motor,None,A.1,101,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 5:21:36 PM",Physical Product,prd-R1132100679051-01453127,2660,0.068001
2,y_motor,None,A.1,136,TRUE,In Work,Andrea Liang,FALSE,"Aug 8, 2026, 5:21:36 PM",Physical Product,prd-R1132100679051-01453162,2660,0.068001
1,3D WHEEL X,None,A.1,3D WHEEL X.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 9, 2026, 11:46:52 PM",Physical Product,prd-R1132100679051-01454275,,
2,x_wheel,None,A.1,x_wheel.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 9, 2026, 11:50:09 PM",Physical Product,prd-R1132100679051-01454205,1290,0.098756
2,x_shaft,None,A.1,x_shaft.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 10, 2026, 12:18:31 AM",Physical Product,prd-R1132100679051-01454207,6860,0.002543
2,x_screw_00,None,A.1,x_screw_00.1,TRUE,In Work,Andrea Liang,FALSE,"Aug 9, 2026, 11:50:09 PM",Physical Product,prd-R1132100679051-01454208,6860,0.005891
